고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보
14-0017,14,마포,2022-11-07 09:24:00.0,0.18,통신양호,서울특별시 마포구 상수동 398 래미안 밤섬 리베뉴 아파트 1차 2차 사이 횡단보도에 위치
14-0018,14,마포,2022-11-07 09:24:00.0,0.13,통신양호,서울특별시 마포구 상수동 397 마포 어린신 돌봄 통합센터 앞 골목에 위치
14-0019,14,마포,2022-11-07 09:24:00.0,0.15,통신양호,서울특별시 마포구 아현동604-2 하남돼지집 앞 도로 나뉘는 곳에 위치
14-0020,14,마포,2022-11-07 09:24:00.0,0.05,통신양호,서울특별시 마포구 아현동91-20 현대자동차 아현대리점 앞 보도위에 위치
15-0001,15,양천,2022-11-07 09:24:00.0,0.2,통신양호,양천구 곰달래로14길 16앞 맨홀(용마주택앞)
15-0002,15,양천,2022-11-07 09:24:00.0,0.26,통신양호,양천구 신목로2길 33-1앞 맨홀(목동현대아파트104동 뒤)
15-0003,15,양천,2022-11-07 09:24:00.0,0.22,통신양호,양천구 목동로25길28앞 맨홀(백석교회앞 코너)
15-0004,15,양천,2022-11-07 09:24:00.0,0.11,통신양호,양천구 목동서로 192-1뒤 맨홀(목1동치안센터 뒤 목동지하차도옆길)
15-0005,15,양천,2022-11-07 09:24:00.0,0.06,통신양호,양천구 곰달래로6길 41앞 맨홀(성실통운 정문옆)
15-0006,15,양천,2022-11-07 09:24:00.0,0.18,통신양호,양천구 곰달래로13길 59앞 맨홀(능력교회 주차장출입구월편 곰달래로13길58앞)
15-0007,15,양천,2022-11-07 09:24:00.0,0.0,통신양호,양천구 중앙로34길 6앞 맨홀(양천사랑복지재단앞 신정1동주민센터 옆)
15-0008,15,양천,2022-11-07 09:24:00.0,0.26,통신양호,양천구 신월로15길 22옆 맨홀(미도빌라1동옆~신월대성유니드104동옆)
15-0009,15,양천,2022-11-07 09:24:00.0,0.4,통신양호,양천구 곰달래로5길 47앞 맨홀(횡단보도내 반도연립방향)
15-0010,15,양천,2022-11-07 09:24:00.0,0.14,통신양호,강서구 곰달래로186앞 맨홀(예당한국의상 플라워민트앞)
15-0011,15,양천,2022-11-07 09:24:00.0,0.3,통신양호,강서구 국회대로7길 196앞 맨홀(현성교역앞)
15-0012,15,양천,2022-11-07 09:24:00.0,0.47,통신양호,양천구 목동남로 104 앞 2차로내 맨홀(초가집김치앞)       
16-0001,16,강서,2022-11-07 09:24:00.0,0.36,통신양호,강서구 강서로5길 16옆 맨홀(독도참치옆~강서로5나길6옆)
16-0002,16,강서,2022-11-07 09:24:00.0,0.13,통신양호,강서구 화곡로 135앞 맨홀    <상원빌딩(현대상조)~전원빌딩(등용고시원) 화곡로137 앞간>
16-0003,16,강서,2022-11-07 09:24:00.0,0.15,통신양호,강서구 국회대로7길 40앞 맨홀(예원앞)
16-0004,16,강서,2022-11-07 09:24:00.0,0.13,통신양호,강서구 화곡로 336앞 맨홀<소암빌딩(신한은행)앞 중앙안전지대>
16-0005,16,강서,2022-11-07 09:24:00.0,0.21,통신양호,강서구 공항대로 389옆 맨홀(부민병원옆~기도산업사옥 공항대로395옆간 횡단보도 뒤)
16-0006,16,강서,2022-11-07 09:24:00.0,0.0,통신양호,강서구 발산로 40앞 전용맨홀(농산물공사강서지사 관리동앞. 남부순환로 4차로내)
